,ds,y,Lag_Trend_tmax_12,Lag_Trend_tmax_24,Lag_Trend_af_12,Lag_Trend_rain_24,Lag_Trend_sun_24,Lag_Trend_O3_24,Lag_Trend_SO2_24
24,2003-07-01,10.0801,15.679166666666665,15.125,0.9999999999999999,57.766666666666666,52.5,14.429326143539852,12.426426757979177
25,2003-08-01,10.0801,15.495833333333332,15.312499999999998,1.5,56.525,51.06249999999999,14.690942887011435,12.278413285116912
26,2003-09-01,9.788433333333334,15.424999999999999,15.520833333333334,1.75,53.887499999999996,48.2375,14.903164469192694,12.022648916197303
27,2003-10-01,9.572720833333335,15.475,15.7625,1.7916666666666665,50.3125,44.699999999999996,15.048934331797234,11.919620989076636
28,2003-11-01,9.736104166666667,15.5125,15.820833333333331,1.9166666666666665,50.825,46.625,14.952656703362349,11.813848886328724
29,2003-12-01,9.518995833333333,15.683333333333332,15.729166666666666,1.9166666666666665,53.97083333333333,51.1125,14.420846667520054,11.524511968766
30,2004-01-01,9.287079166666667,15.895833333333332,15.616666666666667,1.9166666666666665,56.76666666666666,55.62499999999999,14.224610108380269,11.189140104966716
31,2004-02-01,9.334208333333333,16.104166666666668,15.525,1.9166666666666665,56.320833333333326,61.637499999999996,14.564327850315752,10.866951484895033
32,2004-03-01,9.196820833333334,16.3,15.608333333333333,1.9166666666666665,52.89166666666667,66.40416666666667,15.120305299539172,10.516882413807817
33,2004-04-01,9.001591666666666,16.333333333333332,15.604166666666664,1.9166666666666665,49.300000000000004,67.82916666666667,15.430763035500938,10.30833440006827
34,2004-05-01,8.918258333333332,16.30833333333333,15.554166666666667,1.9583333333333333,52.24166666666666,66.875,15.354993919610854,10.09764518262502
35,2004-06-01,8.918258333333332,16.30833333333333,15.670833333333333,2.125,61.34166666666666,63.48333333333333,15.217060825226147,10.044718061955964
36,2004-07-01,8.918258333333332,16.333333333333332,15.679166666666665,2.1666666666666665,66.5,62.69166666666667,15.374318889742275,9.986754352278545
37,2004-08-01,8.918258333333332,16.379166666666666,15.495833333333332,1.9583333333333333,65.64166666666667,60.60833333333333,15.08678848779655,10.163707677291347
38,2004-09-01,8.918258333333332,16.275,15.424999999999999,1.9583333333333333,62.95833333333332,59.583333333333336,14.612878157535416,10.596877400153609
39,2004-10-01,8.896608333333333,16.124999999999996,15.475,1.9583333333333333,61.725,65.54583333333332,14.564397721454172,10.932027116402116
40,2004-11-01,8.922054166666667,16.091666666666665,15.5125,1.8333333333333333,60.237500000000004,65.16250000000001,14.29638323519372,11.20669296168288
41,2004-12-01,9.049879166666667,16.041666666666664,15.683333333333332,1.8333333333333333,57.99166666666666,59.63333333333333,14.285776156340672,11.544206029185867
42,2005-01-01,8.775216666666667,15.929166666666665,15.895833333333332,1.8333333333333333,55.28333333333333,54.383333333333326,14.450460296125616,11.814626802782044
43,2005-02-01,8.2653125,15.758333333333333,16.104166666666668,1.8333333333333333,52.604166666666664,49.5875,14.83453287677078,11.88003898916197
44,2005-03-01,8.0789625,15.604166666666666,16.3,1.8333333333333333,51.041666666666664,45.14583333333333,14.845009280593958,12.099798920464242
45,2005-04-01,7.922124999999999,15.591666666666665,16.333333333333332,1.8333333333333333,49.45833333333333,44.3125,14.595629053592763,12.28674075140809
46,2005-05-01,7.797124999999999,15.566666666666668,16.30833333333333,1.8749999999999998,46.80833333333333,47.37916666666666,14.865809011776753,12.265696471240824
47,2005-06-01,7.797124999999999,15.508333333333333,16.30833333333333,1.9999999999999998,42.44166666666666,49.29583333333333,15.139461192182965,12.11315577530295
48,2005-07-01,7.797124999999999,15.5375,16.333333333333332,1.7916666666666665,39.55416666666666,49.05833333333333,15.257852769243895,11.715866348779654
49,2005-08-01,7.797124999999999,15.508333333333336,16.379166666666666,1.5,39.708333333333336,50.49583333333333,15.709719343877087,11.112350827234552
50,2005-09-01,7.797124999999999,15.479166666666666,16.275,1.6666666666666665,40.479166666666664,50.07499999999999,16.34964595435257,10.557390413216329
51,2005-10-01,7.753116666666666,15.495833333333332,16.124999999999996,1.8749999999999998,42.641666666666666,45.191666666666656,16.248070386849587,10.145571790157788
52,2005-11-01,7.823195833333332,15.4625,16.091666666666665,1.9166666666666665,44.50416666666666,43.512499999999996,16.377453600708606,9.876338292547274
53,2005-12-01,7.748483333333332,15.470833333333333,16.041666666666664,1.9166666666666665,44.449999999999996,43.229166666666664,16.62292477753059,9.498366369010835
54,2006-01-01,7.766266666666666,15.525,15.929166666666665,1.9166666666666665,44.51666666666667,42.31666666666666,16.470098463313146,9.047757796728874
